,day,notLoginDays,dayVitality,intervalMean,isLoss
57403,4.0,0,1.0,0.3076923076923077,0
57404,6.0,0,6.0,0.0,0
57405,6.0,0,6.0,0.0,0
57406,6.0,0,6.0,0.0,0
57407,6.0,0,6.0,0.0,0
57408,2.0,0,0.0,0.0,1
57409,6.0,0,6.0,0.0,0
57410,6.0,0,6.0,0.0,0
57411,6.0,0,6.0,0.0,0
57412,6.0,0,6.0,0.0,0
57413,6.0,0,6.0,0.0,0
57414,6.0,0,6.0,0.0625,0
57415,4.0,0,5.0,0.13333333333333333,0
57416,6.0,0,6.0,0.0,0
57417,6.0,0,6.0,0.21428571428571427,0
57418,6.0,0,0.0,0.21428571428571427,0
57419,6.0,0,6.0,0.0,0
57420,6.0,0,6.0,0.0,0
57421,6.0,0,6.0,0.0,0
57422,6.0,0,6.0,0.0625,0
57423,6.0,0,6.0,0.0,0
57424,6.0,0,6.0,0.0,0
57425,6.0,0,6.0,0.0625,0
57426,6.0,0,0.0,0.0,0
57427,6.0,0,6.0,0.13333333333333333,0
57428,6.0,0,4.0,0.0625,0
57429,6.0,0,6.0,0.0,0
57430,6.0,0,6.0,0.0,0
57431,6.0,0,6.0,0.13333333333333333,0
